"id","username","ChickenBiryani","MuttonBiryani","VegBiryani","MasalaDosa","EggRoll","Pizza","FrenchFries","FriedRice","MatarPaneer","ShahiPaneer","DalMakhani","ChickenTandoori","PalakPaneer","FishCurry","HakkaNoodles","PaneerButterMasala","FishFry","ChickenKosha","ChickenHandi","EggCurry","ChholeBhature","ChilliChicken"
"1","Ravi","5","4","4","5","4","5","3","1","3","3","4","4","3","4","3","4","3","4","5","3","5","5"
"2","Aaaaa","5","5","2","4","3","5","4","2","4","4","4","4","3","3","1","4","2","3","3","3","2","3"
"3","Attitudewali","5","2","1","5","5","5","5","3","4","5","3","5","3","3","4","4","3","4","4","2","3","5"
"4","Atyant","5","5","1","3","1","5","2","3","2","4","3","5","3","1","4","5","1","5","4","3","3","5"
"5","bae.saram","5","1","1","3","4","5","4","3","2","3","1","5","3","4","5","4","3","4","5","4","5","3"
"6","Priyanka","5","2","1","4","5","5","5","3","4","4","4","5","4","4","5","2","5","3","4","4","5","5"
"7","Saswata","4","5","1","2","4","4","3","3","2","3","1","4","4","4","4","4","3","5","5","3","3","2"
"8","100Mia","5","4","2","5","3","5","4","4","2","2","2","5","3","3","4","3","2","4","5","3","4","4"
"9","Satya Swaroop","1","1","5","5","1","4","4","4","3","3","3","1","4","1","3","3","1","1","1","1","3","1"
"10","Sandhya Singh","1","5","2","3","1","1","1","2","1","3","1","2","5","1","5","1","1","5","1","2","1","1"
"11","magicalpari","5","4","4","5","5","5","5","5","3","3","4","5","2","2","5","3","2","5","5","5","5","5"
"12","Vignesh","5","5","3","5","2","3","3","4","4","2","1","5","1","5","1","4","5","5","5","5","2","5"
"13","Aarti","5","5","1","5","4","5","5","2","3","5","5","5","5","1","5","3","5","4","5","1","4","5"
"14","Keshu","5","5","3","4","4","5","5","4","4","4","4","4","3","4","5","4","5","4","5","4","4","5"
"15","Divya Tanu","1","1","4","5","4","5","5","5","5","4","4","2","5","5","5","5","5","5","5","5","5","5"
"16","Amisha","5","2","1","3","3","5","3","2","2","4","2","4","3","3","4","4","4","3","4","3","2","4"
"17","lovely","1","3","2","4","3","3","2","4","4","3","3","1","1","4","3","4","3","1","1","2","3","1"
"18","lovely","1","3","2","4","3","3","2","4","4","3","3","1","1","4","3","4","3","1","1","2","3","1"
"19","Kareena Kapoor","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"20","Amogh H N","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","4","5","5","5","5","5"
"21","Lakhjeet Singh","4","5","2","3","3","5","4","2","1","1","4","4","2","3","3","1","3","3","4","2","4","4"
"22","Jatt","5","5","1","5","3","5","4","4","3","4","4","5","2","4","5","4","4","3","1","1","5","5"
"23","Ayush","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"24","Nidhi Priya","1","1","5","5","1","5","5","5","5","5","5","5","3","5","5","5","1","1","1","1","5","1"
"25","advaitanand","5","5","5","5","5","5","5","4","4","4","5","5","4","4","5","5","5","5","5","5","5","4"
"26","Shalini sargam","4","3","5","4","5","5","5","3","4","5","3","5","4","5","4","4","5","4","5","5","5","5"
"27","Somnath","5","5","1","4","3","4","4","4","4","4","3","5","4","4","4","5","4","5","5","4","4","5"
"28","Shivani","1","1","4","4","1","4","3","4","2","3","2","1","2","1","4","3","1","1","1","1","4","1"
"29","Soni sharma","5","5","4","4","4","5","5","4","4","5","3","5","1","5","5","4","4","5","5","3","4","4"
"30","Soni sharma","5","5","4","4","4","5","5","4","4","5","3","5","1","5","5","4","4","5","5","3","4","4"
"31","Sanjib","5","5","3","5","5","5","5","5","4","3","5","5","4","5","4","5","5","5","5","5","5","5"
"32","deficcvv","5","5","5","4","5","4","5","4","4","4","5","5","4","5","5","4","5","5","5","4","5","5"
"33","Shubham","5","5","2","3","5","5","5","3","4","4","3","5","3","4","4","5","4","4","5","4","5","4"
"34","Shuvam","5","5","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"35","RPSingha","2","1","3","3","1","2","1","5","2","4","1","3","5","2","3","3","4","2","1","1","3","1"
"36","shubhra_pandey_","1","1","2","3","1","5","5","3","4","4","3","1","3","1","2","5","1","1","1","1","4","1"
"37","Akanksha","1","1","2","4","1","5","4","4","5","4","5","1","5","1","5","5","1","1","1","1","4","1"
"38","Akshay Thakur","1","1","3","5","5","4","1","3","3","3","4","1","4","1","4","3","1","1","1","3","4","1"
"39","Harshvardhan Singh","4","4","3","3","4","5","2","4","3","4","2","4","4","3","4","4","2","3","4","3","4","4"
"40","vineet singhal","1","1","3","3","1","5","5","5","5","5","3","1","3","1","4","5","1","1","1","1","4","1"
"41","Kriti","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"42","Akash","5","4","3","3","3","4","4","4","4","4","3","4","3","4","3","3","3","4","5","4","5","4"
"43","Anupam","5","3","1","4","4","4","5","3","2","2","3","5","2","3","2","2","3","5","5","3","4","3"
"44","SASHI RANJAN","5","4","2","4","3","5","3","3","3","4","3","5","3","4","2","4","5","4","4","4","4","5"
"45","Khalifa","5","1","1","2","5","4","2","3","2","4","2","5","5","5","3","5","3","2","5","5","5","5"
"46","NehAnkit","5","5","2","5","3","3","4","5","5","4","5","5","3","2","5","3","5","3","5","4","3","5"
"47","Banjara","4","2","1","3","5","4","3","2","4","4","4","4","2","4","2","4","3","2","5","4","5","5"
"48","Shreyansh","5","4","2","4","4","5","5","4","5","5","3","4","3","4","4","5","2","5","4","4","5","4"
"49","Missbee","5","1","3","5","5","5","3","3","5","5","3","5","5","3","5","5","5","4","4","2","5","5"
"50","Pooja Jha","1","1","3","3","1","5","3","4","5","4","4","1","5","1","5","4","1","1","1","1","2","1"
"51","Neeraj","5","2","3","5","2","4","4","2","1","1","2","5","3","1","3","3","4","5","5","4","4","5"
"52","Danish","4","5","3","3","3","2","3","5","2","3","3","2","2","2","3","4","2","4","4","3","4","4"
"53","Rehajeet","5","5","1","3","3","3","1","2","2","4","3","2","5","5","1","2","4","3","5","4","1","5"
"54","Mia khalifa","5","1","1","1","4","5","4","3","4","5","1","5","5","1","1","5","1","2","3","4","4","5"
"55","Harsh","5","5","3","5","5","4","3","3","3","5","2","5","4","4","5","5","3","4","5","5","5","5"
"56","Harjeet parashar","5","4","1","3","3","3","3","3","2","3","2","5","1","4","2","3","5","4","5","2","2","5"
"57","Abhiraj","4","1","4","4","5","4","4","4","5","5","5","5","2","1","4","5","1","4","5","5","5","5"
"58","Nitika Tyagi","1","1","3","5","1","5","5","5","5","5","3","1","3","1","4","4","1","1","1","1","4","1"
